athlete_id,division_id,division_name,target_percentile,overall_rank,performance_percentile,window_start_rank,window_end_rank,http_status,fetch_source,benchmark_stat_count,parsed_at
451580,1,Men,95,6352,95.0036,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
642936,1,Men,95,6353,95.0028,6341,6371,200,cache,23,2026-07-12T18:12:56.197977+00:00
1765782,1,Men,95,6354,95.0020,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
586010,1,Men,95,6355,95.0013,6341,6371,200,cache,6,2026-07-12T18:12:56.197977+00:00
1603766,1,Men,95,6356,95.0005,6341,6371,200,cache,5,2026-07-12T18:12:56.197977+00:00
731465,1,Men,95,6357,94.9997,6341,6371,200,cache,6,2026-07-12T18:12:56.197977+00:00
1414222,1,Men,95,6358,94.9989,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
2481443,1,Men,95,6359,94.9981,6341,6371,200,cache,7,2026-07-12T18:12:56.197977+00:00
2223800,1,Men,95,6361,94.9965,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
1965634,1,Men,95,6363,94.9950,6341,6371,200,cache,17,2026-07-12T18:12:56.197977+00:00
2379084,1,Men,95,6364,94.9942,6341,6371,200,cache,1,2026-07-12T18:12:56.197977+00:00
2430752,1,Men,95,6366,94.9926,6341,6371,200,cache,6,2026-07-12T18:12:56.197977+00:00
1980164,1,Men,95,6367,94.9918,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
750845,1,Men,95,6369,94.9902,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
2635633,1,Men,95,6370,94.9895,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
2807003,1,Men,95,6371,94.9887,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
2289209,1,Men,99,1257,99.0119,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
743979,1,Men,99,1258,99.0111,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
695961,1,Men,99,1259,99.0103,1257,1287,200,cache,18,2026-07-12T18:12:56.197977+00:00
2637623,1,Men,99,1260,99.0095,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
169360,1,Men,99,1261,99.0087,1257,1287,200,cache,9,2026-07-12T18:12:56.197977+00:00
2302577,1,Men,99,1262,99.0080,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
1208006,1,Men,99,1263,99.0072,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
2402190,1,Men,99,1264,99.0064,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
459811,1,Men,99,1265,99.0056,1257,1287,200,cache,5,2026-07-12T18:12:56.197977+00:00
291802,1,Men,99,1266,99.0048,1257,1287,200,cache,9,2026-07-12T18:12:56.197977+00:00
1145631,1,Men,99,1267,99.0040,1257,1287,200,cache,8,2026-07-12T18:12:56.197977+00:00
1955592,1,Men,99,1268,99.0032,1257,1287,200,cache,6,2026-07-12T18:12:56.197977+00:00
974750,1,Men,99,1269,99.0025,1257,1287,200,cache,6,2026-07-12T18:12:56.197977+00:00
1249248,1,Men,99,1270,99.0017,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
1075244,1,Men,99,1271,99.0009,1257,1287,200,cache,22,2026-07-12T18:12:56.197977+00:00
2512847,1,Men,99,1272,99.0001,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
2000048,1,Men,99,1273,98.9993,1257,1287,200,cache,6,2026-07-12T18:12:56.197977+00:00
2532799,1,Men,99,1275,98.9977,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
1938473,1,Men,99,1276,98.9969,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
1191690,1,Men,99,1277,98.9962,1257,1287,200,cache,14,2026-07-12T18:12:56.197977+00:00
668769,1,Men,99,1278,98.9954,1257,1287,200,cache,12,2026-07-12T18:12:56.197977+00:00
470496,1,Men,99,1279,98.9946,1257,1287,200,cache,3,2026-07-12T18:12:56.197977+00:00
2006228,1,Men,99,1280,98.9938,1257,1287,200,cache,5,2026-07-12T18:12:56.197977+00:00
1324125,1,Men,99,1281,98.9930,1257,1287,200,cache,7,2026-07-12T18:12:56.197977+00:00
2792124,1,Men,99,1282,98.9922,1257,1287,200,cache,0,2026-07-12T18:12:56.197977+00:00
5232,1,Men,99,1283,98.9914,1257,1287,200,cache,8,2026-07-12T18:12:56.197977+00:00
1232543,1,Men,99,1284,98.9907,1257,1287,200,cache,6,2026-07-12T18:12:56.197977+00:00
885340,1,Men,99,1285,98.9899,1257,1287,200,cache,6,2026-07-12T18:12:56.197977+00:00
467139,1,Men,99,1286,98.9891,1257,1287,200,cache,7,2026-07-12T18:12:56.197977+00:00
613899,18,Men 35-39,75,7278,75.0531,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
2829641,18,Men 35-39,75,7279,75.0497,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
1021248,18,Men 35-39,75,7280,75.0463,7278,7308,200,cache,12,2026-07-12T18:12:56.197977+00:00
535653,18,Men 35-39,75,7281,75.0429,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
2935054,18,Men 35-39,75,7283,75.0360,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
2918879,18,Men 35-39,75,7284,75.0326,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
515979,18,Men 35-39,75,7286,75.0257,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
2546818,18,Men 35-39,75,7287,75.0223,7278,7308,200,cache,22,2026-07-12T18:12:56.197977+00:00
2238871,18,Men 35-39,75,7288,75.0189,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
760501,18,Men 35-39,75,7289,75.0154,7278,7308,200,cache,7,2026-07-12T18:12:56.197977+00:00
2496566,18,Men 35-39,75,7290,75.0120,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
2921156,18,Men 35-39,75,7291,75.0086,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
875933,18,Men 35-39,75,7293,75.0017,7278,7308,200,cache,12,2026-07-12T18:12:56.197977+00:00
751805,18,Men 35-39,75,7294,74.9983,7278,7308,200,cache,7,2026-07-12T18:12:56.197977+00:00
2053549,18,Men 35-39,75,7295,74.9949,7278,7308,200,cache,8,2026-07-12T18:12:56.197977+00:00
2198442,18,Men 35-39,75,7296,74.9914,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
690918,18,Men 35-39,75,7297,74.9880,7278,7308,200,cache,13,2026-07-12T18:12:56.197977+00:00
2619065,18,Men 35-39,75,7298,74.9846,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
1343252,18,Men 35-39,75,7299,74.9811,7278,7308,200,cache,4,2026-07-12T18:12:56.197977+00:00
2793005,18,Men 35-39,75,7300,74.9777,7278,7308,200,cache,2,2026-07-12T18:12:56.197977+00:00
2260164,18,Men 35-39,75,7301,74.9743,7278,7308,200,cache,6,2026-07-12T18:12:56.197977+00:00
2979801,18,Men 35-39,75,7302,74.9709,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
915586,18,Men 35-39,75,7303,74.9674,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
2784339,18,Men 35-39,75,7304,74.9640,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
1633042,18,Men 35-39,75,7306,74.9571,7278,7308,200,cache,1,2026-07-12T18:12:56.197977+00:00
1813656,18,Men 35-39,75,7307,74.9537,7278,7308,200,cache,0,2026-07-12T18:12:56.197977+00:00
2902237,18,Men 35-39,75,7308,74.9503,7278,7308,200,cache,1,2026-07-12T18:12:56.197977+00:00
2418642,18,Men 35-39,80,5819,80.0549,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
1998386,18,Men 35-39,80,5821,80.0480,5819,5849,200,cache,8,2026-07-12T18:12:56.197977+00:00
1623875,18,Men 35-39,80,5822,80.0446,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
2346356,18,Men 35-39,80,5823,80.0411,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
37411,18,Men 35-39,80,5824,80.0377,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
1744054,18,Men 35-39,80,5825,80.0343,5819,5849,200,cache,9,2026-07-12T18:12:56.197977+00:00
683611,18,Men 35-39,80,5826,80.0309,5819,5849,200,cache,10,2026-07-12T18:12:56.197977+00:00
2184359,18,Men 35-39,80,5827,80.0274,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
2396638,18,Men 35-39,80,5828,80.0240,5819,5849,200,cache,8,2026-07-12T18:12:56.197977+00:00
1999971,18,Men 35-39,80,5829,80.0206,5819,5849,200,cache,4,2026-07-12T18:12:56.197977+00:00
2782923,18,Men 35-39,80,5830,80.0171,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
7774,18,Men 35-39,80,5831,80.0137,5819,5849,200,cache,12,2026-07-12T18:12:56.197977+00:00
1256478,18,Men 35-39,80,5832,80.0103,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
2915343,18,Men 35-39,80,5833,80.0069,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
2504711,18,Men 35-39,80,5834,80.0034,5819,5849,200,cache,3,2026-07-12T18:12:56.197977+00:00
2623901,18,Men 35-39,80,5836,79.9966,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
2783516,18,Men 35-39,80,5837,79.9931,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
936090,18,Men 35-39,80,5838,79.9897,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
1275900,18,Men 35-39,80,5840,79.9829,5819,5849,200,cache,15,2026-07-12T18:12:56.197977+00:00
2719955,18,Men 35-39,80,5841,79.9794,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
2830368,18,Men 35-39,80,5842,79.9760,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
2056867,18,Men 35-39,80,5844,79.9691,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
1919484,18,Men 35-39,80,5845,79.9657,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
2167335,18,Men 35-39,80,5846,79.9623,5819,5849,200,cache,3,2026-07-12T18:12:56.197977+00:00
719473,18,Men 35-39,80,5847,79.9589,5819,5849,200,cache,0,2026-07-12T18:12:56.197977+00:00
1878934,18,Men 35-39,80,5848,79.9554,5819,5849,200,cache,7,2026-07-12T18:12:56.197977+00:00
1984718,18,Men 35-39,80,5849,79.9520,5819,5849,200,cache,22,2026-07-12T18:12:56.197977+00:00
2962410,18,Men 35-39,85,4360,85.0566,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
1022859,18,Men 35-39,85,4361,85.0531,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
122893,18,Men 35-39,85,4363,85.0463,4360,4390,200,cache,10,2026-07-12T18:12:56.197977+00:00
2693511,18,Men 35-39,85,4364,85.0429,4360,4390,200,cache,2,2026-07-12T18:12:56.197977+00:00
1947406,18,Men 35-39,85,4365,85.0394,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
2423515,18,Men 35-39,85,4366,85.0360,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
953808,18,Men 35-39,85,4369,85.0257,4360,4390,200,cache,23,2026-07-12T18:12:56.197977+00:00
2234429,18,Men 35-39,85,4370,85.0223,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
563990,18,Men 35-39,85,4371,85.0189,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
985780,18,Men 35-39,85,4372,85.0154,4360,4390,200,cache,9,2026-07-12T18:12:56.197977+00:00
1407003,18,Men 35-39,85,4373,85.0120,4360,4390,200,cache,8,2026-07-12T18:12:56.197977+00:00
2339565,18,Men 35-39,85,4375,85.0051,4360,4390,200,cache,8,2026-07-12T18:12:56.197977+00:00
233776,18,Men 35-39,85,4377,84.9983,4360,4390,200,cache,7,2026-07-12T18:12:56.197977+00:00
2256086,18,Men 35-39,85,4378,84.9949,4360,4390,200,cache,4,2026-07-12T18:12:56.197977+00:00
2493453,18,Men 35-39,85,4379,84.9914,4360,4390,200,cache,6,2026-07-12T18:12:56.197977+00:00
2496915,18,Men 35-39,85,4380,84.9880,4360,4390,200,cache,4,2026-07-12T18:12:56.197977+00:00
1974879,18,Men 35-39,85,4382,84.9811,4360,4390,200,cache,4,2026-07-12T18:12:56.197977+00:00
233594,18,Men 35-39,85,4385,84.9709,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
457789,18,Men 35-39,85,4386,84.9674,4360,4390,200,cache,8,2026-07-12T18:12:56.197977+00:00
813338,18,Men 35-39,85,4387,84.9640,4360,4390,200,cache,10,2026-07-12T18:12:56.197977+00:00
2604300,18,Men 35-39,85,4388,84.9606,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
1302627,18,Men 35-39,85,4389,84.9571,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
702282,18,Men 35-39,85,4390,84.9537,4360,4390,200,cache,0,2026-07-12T18:12:56.197977+00:00
2967117,18,Men 35-39,90,2903,90.0514,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
501728,18,Men 35-39,90,2905,90.0446,2903,2933,200,cache,7,2026-07-12T18:12:56.197977+00:00
1153738,18,Men 35-39,90,2906,90.0411,2903,2933,200,cache,7,2026-07-12T18:12:56.197977+00:00
2442964,18,Men 35-39,90,2908,90.0343,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
469903,18,Men 35-39,90,2909,90.0309,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
2468339,18,Men 35-39,90,2910,90.0274,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
1994410,18,Men 35-39,90,2911,90.0240,2903,2933,200,cache,11,2026-07-12T18:12:56.197977+00:00
344523,18,Men 35-39,90,2912,90.0206,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
668340,18,Men 35-39,90,2913,90.0171,2903,2933,200,cache,6,2026-07-12T18:12:56.197977+00:00
2687697,18,Men 35-39,90,2915,90.0103,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
43633,18,Men 35-39,90,2917,90.0034,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
395109,18,Men 35-39,90,2918,90.0000,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
1493465,18,Men 35-39,90,2919,89.9966,2903,2933,200,cache,8,2026-07-12T18:12:56.197977+00:00
2251784,18,Men 35-39,90,2920,89.9931,2903,2933,200,cache,5,2026-07-12T18:12:56.197977+00:00
52618,18,Men 35-39,90,2921,89.9897,2903,2933,200,cache,12,2026-07-12T18:12:56.197977+00:00
1576234,18,Men 35-39,90,2922,89.9863,2903,2933,200,cache,3,2026-07-12T18:12:56.197977+00:00
2931456,18,Men 35-39,90,2925,89.9760,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
974807,18,Men 35-39,90,2926,89.9726,2903,2933,200,cache,4,2026-07-12T18:12:56.197977+00:00
2021,18,Men 35-39,90,2927,89.9691,2903,2933,200,cache,0,2026-07-12T18:12:56.197977+00:00
2062260,18,Men 35-39,90,2928,89.9657,2903,2933,200,cache,8,2026-07-12T18:12:56.197977+00:00
225749,18,Men 35-39,90,2930,89.9589,2903,2933,200,cache,12,2026-07-12T18:12:56.197977+00:00
1507109,18,Men 35-39,90,2932,89.9520,2903,2933,200,cache,3,2026-07-12T18:12:56.197977+00:00
